Playlist Link,Track URL,Source,Collection
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/152LgUEiHdeOUW71LorSCy?si=783608e3d6d946e0,Desire Music,"17,905"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/6BrExvtgNejnOMRi1bYSfu?si=b24d6475bd0845fa,Floyd,"37,266"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/3zLIzJ2WqkbPKPoG8lJ1Q8?si=3c0b28a15a36401c,The Landing Strip Records,"3,311"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/1ZGI56KwuJeCbEwbb2lCFn?si=b7e9eda6669d4a3d,1254610 Records DK,"13,430"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/2esNCniAVnZ1YUVU5cl2Ea?si=432f2eaf5dca4ff6,Longliveadamariz,"4,534"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/0bfWhqsDaAMVFagtMyVDP9?si=be463f58845b47fa,Blakk Mantra,"95,466"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/2Lh8mONFXQoYMb4JR2zYsV?si=831fc0b9a9bb4b48,Doomy Music,"10,137"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/0jwIedF4UTYTIawo4MXLA5?si=72d89fd82a074ca1,I.C.H.O.R Music,"1,885"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/7cVuyuuDVhUwc17cdsluNI?si=fd169e97efae4361,Who Nex Music,"50,404"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/7pUGMPvVaqtCflULO3FhMD?si=346d2195ae064461,New Nairobi Records,
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/2eaqdiJq6nirXrb2xTzY2C?si=5722166ff37a42bf,Chase Davidson,"2,074"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/4es8IKXhtwtq72KvRh05b1?si=1e9e3c7dace24ab1,THE DAY WILL COME,"215,555"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/66Ebo4kHh31nRTlpHzPA2R?si=e64e87d734cd44d7,Onomaly Records,"10,755"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/65EAmsSBkb7jLMctcleEh0?si=589e7b3d28634445,CBMuzik,"12,071"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/0UgcvfE5sd8uWtz0kBwpzL?si=cab923db7f9c4f4f,Ve M. Entertainment,"13,165"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/0JdOyPvKligKScdTYRoCWb?si=6d60d41cc4084231,JULIANA.,"60,298"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/0gVBgnAvxz7cd2xFqFFRtT?si=54e65424bcc34999,1461303 Records DK,"414,962"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/5Jm5ljcltZ574HVfiFBFR9?si=f8687a49848c456e,The Dream Team Records,"117,410"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/5hUIRUOBbuG1O1CHx67kWc?si=910fb4841a4b4148,ALL,"10,880"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/550s7ycsVMS0oJIdT9X0om?si=3d59a164d6444e67,Sonic Mud Records,"3,874"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/2oJ3Xc68dfuhw3rRebOGKT?si=b928579f5a2847ae,Shae Brock,"145,249"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/0ymAzWD4QTvB0bsAg4WAhN?si=b331e139378f4bcc,"Berkley Monroe Entertainment, LLC","80,132"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/29jYFiOZ43gRLagoOB6Fs5?si=a42571de7a20497b,flex creek,"9,632"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/4jqoGc66DS0TzJuXrKpKsx?si=02fd21443d5b4b56,Drew Austin,"12,123"
https://open.spotify.com/playlist/3nOGCxbVTv3OsPpQkvCfnl,https://open.spotify.com/track/2J1xeCm20NthdHhPogtgz8?si=bf27f03daee94128,Larenzo Dutoni,"7,874"
